Date,Takings,Donations,Total,Day,Week,Month,Year,CustNumbers
04/01/14,0,0,0,Sat,40,10,13,0
07/01/14,211.13,4.5,215.63,Tues,41,10,13,58
08/01/14,146.6,6,152.6,Wed,41,10,13,30
09/01/14,145.05,5,150.05,Thurs,41,10,13,32
10/01/14,182,10.5,192.5,Fri,41,10,13,39
11/01/14,203.15,6.7,209.85,Sat,41,10,13,41
14/01/14,141.45,0,141.45,Tues,42,10,13,36
15/01/14,160.2,5,165.2,Wed,42,10,13,33
16/01/14,118.8,0,118.8,Thurs,42,10,13,24
17/01/14,207.12,7.5,214.62,Fri,42,10,13,38
18/01/14,176.93,16.5,193.43,Sat,42,10,13,44
18/01/14,36.25,0,36.25,Sat,42,10,13,0
21/01/14,105.6,3.7,109.3,Tues,43,10,13,34
22/01/14,114.75,0,114.75,Wed,43,10,13,25
23/01/14,151.7,8,159.7,Thurs,43,10,13,38
24/01/14,88.9,4,92.9,Fri,43,10,13,19
25/01/14,219.1,6.4,225.5,Sat,43,10,13,50
28/01/14,90.5,1.7,92.2,Tues,44,11,13,25
29/01/14,78.55,0,78.55,Wed,44,11,13,16
